Valor,Bairro,N_quartos,N_banheiros,Area
560000.0,Vila Olímpia,1.0,1.0,35
995000.0,Vila Olímpia,1.0,1.0,101
335275.0,Santana,3.0,,58
720000.0,Vila Mariana,2.0,2.0,65
855000.0,Vila Mariana,3.0,2.0,92
730000.0,Vila Mariana,3.0,3.0,77
381900.0,Mooca,3.0,,59
640000.0,Jardim Paulista,1.0,1.0,40
900000.0,Jardim Paulista,2.0,1.0,75
730000.0,Jardim Paulista,2.0,1.0,60
190000.0,Guaianazes,2.0,,50
6390000.0,Vila Olímpia,4.0,1.0,274
2250000.0,Itaim Bibi,3.0,3.0,210
750000.0,Vila Mariana,3.0,3.0,72
219624.0,Pirituba,2.0,,43
770000.0,Vila Mariana,3.0,1.0,85
460000.0,Vila Clementino,1.0,2.0,45
596000.0,Chácara Inglesa,2.0,2.0,67
510000.0,Pinheiros,1.0,,44
690000.0,Chácara Inglesa,2.0,2.0,67
869000.0,Chácara Inglesa,3.0,3.0,103
2650000.0,Jardim Paulista,3.0,2.0,223
258600.0,Jaçanã,2.0,,49
955000.0,Vila Nova Conceição,1.0,1.0,43
205000.0,Jardim Celeste,2.0,1.0,52
400000.0,Vila Gumercindo,2.0,1.0,53
381500.0,Belém,3.0,,59
479000.0,Vila Gumercindo,2.0,3.0,66
464000.0,Vila Gumercindo,2.0,3.0,66
570000.0,Vila Clementino,2.0,1.0,66
951600.0,Pinheiros,2.0,,73
796000.0,Saúde,4.0,5.0,229
820000.0,Sacomã,3.0,3.0,103
388000.0,Cursino,3.0,2.0,63
1300000.0,Perdizes,3.0,,116
573000.0,Chácara Inglesa,3.0,3.0,74
630000.0,Saúde,3.0,3.0,120
587000.0,Vila Mariana,3.0,2.0,85
399000.0,Penha,2.0,,60
599000.0,Vila Mariana,2.0,2.0,67
457000.0,Saúde,3.0,2.0,85
363000.0,Vila das Mercês,3.0,2.0,69
980000.0,Pinheiros,2.0,,78
699000.0,Saúde,2.0,2.0,106
1120000.0,Vila Santa Catarina,2.0,3.0,113
420000.0,Vila Gumercindo,2.0,2.0,70
690000.0,Consolação,2.0,,67
1064000.0,Saúde,3.0,3.0,108
690000.0,Morumbi,4.0,1.0,202
973000.0,Vila Mariana,2.0,2.0,87
1390000.0,Paraíso,2.0,,113
509000.0,Vila Gumercindo,2.0,1.0,63
534000.0,Vila Gumercindo,3.0,1.0,69
760000.0,Planalto Paulista,3.0,3.0,111
1730000.0,Aclimação,3.0,,163
1350000.0,Vila Mariana,3.0,4.0,129
610000.0,Chácara Inglesa,2.0,1.0,69
280000.0,Jabaquara,2.0,2.0,65
302000.0,Pirituba,2.0,,52
535000.0,Chácara Inglesa,2.0,2.0,64
235000.0,Jabaquara,2.0,2.0,65
260000.0,Jabaquara,2.0,1.0,60
1609470.0,Jardim das Perdizes,4.0,,157
299000.0,Sacomã,2.0,2.0,50
745000.0,Vila Mariana,3.0,1.0,83
530000.0,Ipiranga,2.0,2.0,56
918350.0,Jardim das Perdizes,2.0,,79
150000.0,Tatuapé,1.0,1.0,28
530000.0,Vila Guarani(Zona Sul),2.0,1.0,55
700000.0,Vila Guarani(Zona Sul),3.0,2.0,86
1978990.0,Jardim das Perdizes,4.0,,241
425000.0,Vila Guarani(Zona Sul),2.0,2.0,58
840000.0,Vila Guarani(Zona Sul),3.0,2.0,91
898000.0,Vila Guarani(Zona Sul),3.0,4.0,95
632000.0,Jardim das Perdizes,2.0,,60
750000.0,Vila Guarani(Zona Sul),3.0,3.0,88
899000.0,Vila Guarani(Zona Sul),3.0,3.0,110
800000.0,Vila Guarani(Zona Sul),3.0,4.0,95
1729250.0,Jardim das Perdizes,4.0,,158
825000.0,Vila Guarani(Zona Sul),3.0,2.0,94
530000.0,Vila Guarani(Zona Sul),2.0,2.0,63
600000.0,Vila Guarani(Zona Sul),2.0,2.0,73
235000.0,Real Parque,1.0,,35
580000.0,Barra Funda,2.0,2.0,70
450000.0,Vila Guarani(Zona Sul),2.0,1.0,56
395000.0,Vila Guarani(Zona Sul),2.0,2.0,60
660000.0,Santa Cecília,2.0,,68
530000.0,Vila Guarani(Zona Sul),2.0,2.0,66
369000.0,Vila Guarani(Zona Sul),2.0,1.0,69
338000.0,Vila Guarani(Zona Sul),2.0,1.0,47
330000.0,Tatuapé,2.0,,50
4300000.0,Higienópolis,4.0,10.0,304
230000.0,Parque Bristol,2.0,1.0,51
1950000.0,Real Parque,4.0,4.0,257
426450.0,Freguesia Do Ó,2.0,,52
4000000.0,Real Parque,3.0,5.0,300
280000.0,Cidade Ademar,2.0,1.0,46
260000.0,Sacomã,2.0,1.0,57
412600.0,Casa Verde,3.0,,60
257000.0,Morumbi,2.0,1.0,48
1820112.0,Aclimação,4.0,5.0,170
2300001.0,Brooklin,4.0,5.0,185
345300.0,Santo Amaro,2.0,,44
155900.0,Parque Bristol,2.0,1.0,41
1739011.0,Cerqueira César,2.0,3.0,91
369011.0,Campo Belo,1.0,1.0,35
333300.0,Vila Guilherme,2.0,,62
1699011.0,Vila Leopoldina,3.0,5.0,173
587976.0,Vila Mariana,1.0,1.0,50
1090000.0,Vila Romana,3.0,3.0,124
362700.0,Vila Maria,3.0,,59
5400000.0,Cidade Monções,4.0,6.0,445
1095000.0,Vila Romana,3.0,3.0,127
189000.0,Tatuapé,1.0,1.0,31
1400000.0,Santo Amaro,3.0,,130
1300000.0,Jardim América,3.0,4.0,186
574000.0,Santo Amaro,3.0,1.0,70
1280000.0,Brooklin,3.0,5.0,124
930000.0,Vila Leopoldina,2.0,,130
1188000.0,Morumbi,4.0,3.0,353
1200000.0,Pompéia,2.0,3.0,107
2300000.0,Paraíso,3.0,4.0,256
199000.0,Penha,2.0,,47
467000.0,Consolação,1.0,1.0,56
509000.0,Liberdade,1.0,1.0,45
2750000.0,Higienópolis,3.0,2.0,268
1250000.0,Mooca,3.0,,157
1750000.0,Sumaré,3.0,4.0,122
750000.0,Pinheiros,2.0,1.0,70
310000.0,Saúde,2.0,2.0,51
1646300.0,Vila Mariana,3.0,,113
300000.0,Cambuci,1.0,1.0,45
980000.0,Ipiranga,4.0,,140
490000.0,Lapa,2.0,1.0,61
629550.0,Vila Mariana,1.0,,45
3200000.0,Perdizes,3.0,3.0,330
900000.0,Sumaré,3.0,3.0,130
900000.0,Guaianazes,3.0,5.0,132
795870.0,Vila Mariana,2.0,,56
710001.0,Tatuapé,3.0,3.0,102
152000.0,Sacomã,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
911840.0,Vila Mariana,2.0,,67
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,40
567440.0,Vila Mariana,1.0,,45
152000.0,Cursino,2.0,1.0,40
152000.0,Saúde,2.0,1.0,40
152000.0,Cursino,2.0,1.0,40
607310.0,Alto da Boa Vista,,,62
152000.0,Cursino,2.0,1.0,40
152000.0,Cursino,2.0,2.0,40
152000.0,Cursino,2.0,1.0,40
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
152000.0,Sacomã,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
152000.0,Cursino,2.0,1.0,40
152000.0,Jabaquara,2.0,1.0,40
152000.0,Saúde,2.0,1.0,41
152000.0,Cursino,2.0,1.0,41
310000.0,Pinheiros,1.0,1.0,18
1790000.0,Aclimação,4.0,5.0,170
1780052.0,Aclimação,4.0,5.0,170
1790052.0,Aclimação,4.0,5.0,170
1584650.0,Pinheiros,3.0,,107
280011.0,Centro,1.0,1.0,27
530000000.0,Butantã,2.0,2.0,66
1300000.0,Pinheiros,1.0,1.0,48
360000.0,Jardins,1.0,1.0,29
290000.0,Jardins,1.0,1.0,28
470000.0,Jardins,1.0,1.0,42
320000.0,Moema,1.0,1.0,32
580000.0,Jardins,1.0,1.0,27
760000.0,Jardins,2.0,1.0,62
320000.0,Moema,1.0,1.0,32
299000.0,Santa Cecília,1.0,1.0,35
660001.0,Vila Prudente,3.0,3.0,100
249000.0,Vila Prudente,1.0,2.0,48
154000.0,Parque Bristol,2.0,1.0,40
152000.0,Parque Bristol,2.0,1.0,40
280000.0,Itaim Bibi,1.0,1.0,29
1250800.0,Cerqueira César,2.0,2.0,62
305000.0,Brooklin,1.0,1.0,34
440000.0,Pinheiros,1.0,1.0,36
400000.0,Vila Olímpia,1.0,1.0,30
230000.0,Vila Matilde,2.0,1.0,51
697511.0,Campo Belo,2.0,2.0,70
240000.0,Campo Grande,2.0,1.0,34
290000.0,Jardim Paulista,1.0,1.0,28
300000.0,Jardim Paulista,1.0,1.0,33
280000.0,Jardim Paulista,1.0,1.0,29
340000.0,Vila Olímpia,1.0,1.0,33
266900.0,Morumbi,2.0,1.0,50
638627.0,Ipiranga,,2.0,68
312800.0,Jardins,1.0,1.0,30
950000.0,Jabaquara,3.0,3.0,110
860000.0,Jabaquara,3.0,3.0,106
3800000.0,Moema,4.0,6.0,210
1100000.0,Moema,2.0,2.0,70
1516000.0,Cidade Monções,3.0,5.0,163
380000.0,Jardim Prudência,,2.0,65
1696000.0,Santo Amaro,2.0,4.0,138
1600000.0,Barra Funda,3.0,4.0,160
560000.0,Campo Belo,1.0,2.0,48
2250000.0,Itaim Bibi,1.0,,91
1345000.0,Casa Verde,3.0,4.0,140
1170000.0,Vila Gumercindo,3.0,5.0,110
440000.0,Tucuruvi,3.0,2.0,68
